direction,risk_reward,pips_risked,risk_per_trade,win_rate_mean,win_rate_median,win_rate_std,expectancy_mean,expectancy_median,expectancy_std,avg_holding_period_mean,avg_holding_period_median,avg_holding_period_std,CAGR
buy,4.0,4,0.02,0.23493499999999998,0.235,0.013236342961709628,1.0026287341051145,1.0026342370904546,0.0012896709125015588,1.406925,1.408,0.04217581504843741,695.2902954516759
buy,4.0,4,0.03,0.23493499999999998,0.235,0.013236342961709628,1.003328941173691,1.0033365010910984,0.0019099950945898924,1.406925,1.408,0.04217581504843741,3962.4852208877937
buy,4.0,4,0.05,0.23493499999999998,0.235,0.013236342961709628,1.0036022653332302,1.0036127057868691,0.0031044942743310177,1.406925,1.408,0.04217581504843741,7813.576014011846
buy,4.0,4,0.06,0.23493499999999998,0.235,0.013236342961709628,1.0032103511994126,1.0032216688214441,0.003679679789607458,1.406925,1.408,0.04217581504843741,2951.2030328958
buy,4.0,4,0.07,0.23493499999999998,0.235,0.013236342961709628,1.0024868036625778,1.0024986547428165,0.004240763394857221,1.406925,1.408,0.04217581504843741,488.5426918836572
buy,4.0,5,0.02,0.230045,0.2295,0.013279795743911124,1.0021524730352207,1.002098573061268,0.0012934015187846088,1.6799549999999999,1.682,0.0599230587920877,123.2076805349044
buy,4.0,5,0.03,0.230045,0.2295,0.013279795743911124,1.0026237377783513,1.0025433453245527,0.001915162780406214,1.6799549999999999,1.682,0.0599230587920877,352.9921393155475
buy,4.0,5,0.05,0.230045,0.2295,0.013279795743911124,1.0024564603733472,1.002324017131637,0.003111775637079011,1.6799549999999999,1.682,0.0599230587920877,242.95754672706926
buy,4.0,5,0.06,0.230045,0.2295,0.013279795743911124,1.001852502741887,1.0016945067042136,0.003687670731530418,1.6799549999999999,1.682,0.0599230587920877,63.031019752201026
buy,4.0,5,0.07,0.230045,0.2295,0.013279795743911124,1.0009221856695902,1.0007389547031447,0.00424925191629868,1.6799549999999999,1.682,0.0599230587920877,7.8748808069493625
buy,4.0,6,0.02,0.22422,0.224,0.013331601554201957,1.001585442882707,1.0015631928502742,0.0012975663373369394,2.0111600000000003,2.0115,0.07952901608846925,23.491346480295107
buy,4.0,6,0.03,0.22422,0.224,0.013331601554201957,1.0017843414082623,1.001750811384288,0.001920704045302397,2.0111600000000003,2.0115,0.07952901608846925,34.893068963961326
buy,4.0,6,0.05,0.22422,0.224,0.013331601554201957,1.0010932756469355,1.0010369695586416,0.0031188212519997647,2.0111600000000003,2.0115,0.07952901608846925,8.822078631183192
buy,4.0,6,0.06,0.22422,0.224,0.013331601554201957,1.000237420590281,1.0001696501379171,0.003694900345628502,2.0111600000000003,2.0115,0.07952901608846925,1.6048417720400463
buy,4.0,6,0.07,0.22422,0.224,0.013331601554201957,0.9990615851955228,0.9989823180067473,0.00425631989763562,2.0111600000000003,2.0115,0.07952901608846925,0.1540078680390157
buy,4.0,7,0.02,0.21916500000000003,0.219,0.013153622124722908,1.0010935999137152,1.0010767328548809,0.0012795568912235408,2.3917699999999997,2.4,0.09724030594357468,6.9137206451843065
buy,4.0,7,0.03,0.21916500000000003,0.219,0.013153622124722908,1.00105641236016,1.0010308720203513,0.001893557878220194,2.3917699999999997,2.4,0.09724030594357468,6.474000597401425
buy,4.0,7,0.05,0.21916500000000003,0.219,0.013153622124722908,0.9999116302887071,0.9998683666856241,0.0030732144970297415,2.3917699999999997,2.4,0.09724030594357468,0.8552753156486191
buy,4.0,7,0.06,0.21916500000000003,0.219,0.013153622124722908,0.9988377187512174,0.998785440008038,0.003639995704813291,2.3917699999999997,2.4,0.09724030594357468,0.12780402765065177
buy,4.0,7,0.07,0.21916500000000003,0.219,0.013153622124722908,0.9974494388493657,0.9973880630217784,0.004192087490834828,2.3917699999999997,2.4,0.09724030594357468,0.010914364619539447
buy,4.0,8,0.02,0.21475999999999998,0.214,0.01346448662222218,1.0006652562588112,1.000590509133473,0.0013091341774656544,2.8080200000000004,2.8085,0.1127148153527299,2.8514963108427596
buy,4.0,8,0.03,0.21475999999999998,0.214,0.01346448662222218,1.0004226437710726,1.0003114500632206,0.0019368573115264647,2.8080200000000004,2.8085,0.1127148153527299,1.9460197422970666
buy,4.0,8,0.05,0.21475999999999998,0.214,0.01346448662222218,0.9988834020299273,0.9987011280306288,0.0031420175438919614,2.8080200000000004,2.8085,0.1127148153527299,0.17198994411454196
buy,4.0,8,0.06,0.21475999999999998,0.214,0.01346448662222218,0.9976200689697925,0.9974031455908419,0.0037206466657282765,2.8080200000000004,2.8085,0.1127148153527299,0.023415877879989236
buy,4.0,8,0.07,0.21475999999999998,0.214,0.01346448662222218,0.9960473411245548,0.9957963522749921,0.004284023217731224,2.8080200000000004,2.8085,0.1127148153527299,0.0019493932751876903
buy,4.0,9,0.02,0.21228999999999998,0.2115,0.013931471566205776,1.0004251914174531,1.0003474870201585,0.0013543098128940279,3.249135,3.2495,0.13441341739201487,1.8226014146262615
buy,4.0,9,0.03,0.21228999999999998,0.2115,0.013931471566205776,1.0000675330609736,0.9999519355802395,0.0020035321554938207,3.249135,3.2495,0.13441341739201487,1.1000514822230876
buy,4.0,9,0.05,0.21228999999999998,0.2115,0.013931471566205776,0.9983075330408385,0.9981180265962849,0.003249672166338458,3.249135,3.2495,0.13441341739201487,0.091457931172992
buy,4.0,9,0.06,0.21228999999999998,0.2115,0.013931471566205776,0.99693826355896,0.9967127255045093,0.0038478370769202018,3.249135,3.2495,0.13441341739201487,0.013168029928011938
